year	cell	Area_intersection	no_bird	Mahd	herb_layer	shrub_high	shrub_low	shrub_medium	Gebuesch	forest	Area1	Area_without_forest	
2019	75	22500	0	0	0	0	2528	48	17821	0	20397	20397	0.00
2019	259	22500	1	843	145	5376	7482	408	6294	0	20548	20548	0.00
2019	235	22500	0	0	128	7446	1615	11374	543	0	21106	21106	0.00
2019	283	22500	1	13824	7441	0	0	0	40	0	21305	21305	0.00
2019	74	21976	0	0	0	0	5797	282	15496	0	21575	21575	0.00
2019	236	22500	0	0	122	789	0	19020	2145	0	22076	22076	0.00
2019	116	22500	0	0	6067	2636	0	11937	1483	0	22123	22123	0.00
2019	40	22500	0	0	9721	0	0	0	12522	0	22243	22243	0.00
2019	65	22500	0	0	17582	0	0	0	4767	0	22349	22349	0.00
2019	212	22500	0	0	3633	1217	0	9407	8116	0	22373	22373	0.00
2019	223	22500	1	12866	9520	0	0	0	0	0	22386	22386	0.00
2019	66	22500	0	0	12122	0	0	0	10308	0	22430	22430	0.00
2019	121	22500	0	0	7804	0	8033	0	6597	0	22434	22434	0.00
2019	205	22500	0	0	5406	5197	0	5894	5937	0	22434	22434	0.00
2019	130	22500	0	0	0	11566	7476	0	3398	0	22440	22440	0.00
2019	41	22500	0	0	206	0	0	0	22242	0	22448	22448	0.00
2019	111	22500	0	194	697	0	171	31	21358	0	22451	22451	0.00
2019	209	22500	1	0	9454	0	12453	0	551	0	22458	22458	0.00
2019	106	22500	0	0	0	16638	0	0	5822	0	22460	22460	0.00
2019	105	22500	0	0	0	14311	40	0	8111	0	22462	22462	0.00
2019	145	22500	0	0	4473	0	17171	0	822	0	22466	22466	0.00
2019	109	22500	1	0	0	3371	16131	0	2968	0	22470	22470	0.00
2019	127	22500	0	0	10307	0	2279	9884	0	0	22470	22470	0.00
2019	151	22500	0	0	1833	0	6226	14412	0	0	22471	22471	0.00
2019	226	22500	0	6272	6568	9631	0	0	0	0	22471	22471	0.00
2019	131	22500	0	0	0	2909	16526	0	3037	0	22472	22472	0.00
2019	202	22500	0	0	116	13662	8695	0	0	0	22473	22473	0.00
2019	32	22500	0	0	14850	0	753	0	6875	0	22478	22478	0.00
2019	39	22500	0	0	19802	0	0	0	2676	0	22478	22478	0.00
2019	162	22500	0	0	18449	0	923	1479	1628	0	22479	22479	0.00
2019	198	22500	0	693	20384	0	1402	0	0	0	22479	22479	0.00
2019	78	22500	0	0	7488	7331	3354	0	4307	0	22480	22480	0.00
2019	55	22500	1	0	6193	0	16290	0	0	0	22483	22483	0.00
2019	97	22500	0	0	1168	0	4027	8391	8900	0	22486	22486	0.00
2019	99	22500	0	0	0	0	14	17974	4498	0	22486	22486	0.00
2019	222	22500	0	15806	6680	0	0	0	0	0	22486	22486	0.00
2019	34	22500	1	0	16403	1099	0	507	4478	0	22487	22487	0.00
2019	54	22500	0	0	17983	9	191	0	4304	0	22487	22487	0.00
2019	227	22500	1	5451	16773	101	163	0	0	0	22488	22488	0.00
2019	124	22500	0	0	0	0	7625	7118	7746	0	22489	22489	0.00
2019	203	22500	1	0	803	27	21660	0	0	0	22490	22490	0.00
2019	204	22500	0	0	689	9852	11951	0	0	0	22492	22492	0.00
2019	229	22500	0	431	0	4802	11700	5524	35	0	22492	22492	0.00
2019	101	22500	1	0	0	910	4237	16135	1211	0	22493	22493	0.00
2019	112	22500	0	0	5220	2275	0	9683	5315	0	22493	22493	0.00
2019	224	22500	1	6141	16352	0	0	0	0	0	22493	22493	0.00
2019	31	22500	1	0	15690	0	5649	0	1155	0	22494	22494	0.00
2019	77	22500	0	0	0	14863	0	2036	5595	0	22494	22494	0.00
2019	175	22500	0	0	6390	0	3515	12442	147	0	22494	22494	0.00
2019	199	22500	0	0	22481	0	0	13	0	0	22494	22494	0.00
2019	132	22500	0	0	0	0	22384	0	111	0	22495	22495	0.00
2019	185	22500	0	0	20659	0	1105	0	731	0	22495	22495	0.00
2019	197	22500	0	372	14950	0	7174	0	0	0	22496	22496	0.00
2019	200	22500	0	0	17276	0	549	0	4671	0	22496	22496	0.00
2019	201	22500	0	0	8504	7682	6311	0	0	0	22497	22497	0.00
2019	206	22500	0	0	1984	5831	9228	109	5345	0	22497	22497	0.00
2019	58	22500	0	0	0	14463	0	1556	6480	0	22499	22499	0.00
2019	62	22500	1	0	11594	7008	0	110	3787	0	22499	22499	0.00
2019	98	22500	0	0	0	0	6943	8570	6986	0	22499	22499	0.00
2019	103	22500	0	0	17411	0	2773	2315	0	0	22499	22499	0.00
2019	179	22500	0	0	1715	0	19619	0	1165	0	22499	22499	0.00
2019	182	22500	0	0	20919	0	264	0	1316	0	22499	22499	0.00
2019	186	22500	1	0	20286	0	0	897	1316	0	22499	22499	0.00
2019	188	22500	0	0	7622	0	0	8325	6552	0	22499	22499	0.00
2019	33	22500	0	0	20989	0	0	0	1511	0	22500	22500	0.00
2019	38	22500	0	0	19929	510	0	0	2061	0	22500	22500	0.00
2019	57	22500	0	0	90	13393	0	0	9017	0	22500	22500	0.00
2019	63	22500	0	2358	20142	0	0	0	0	0	22500	22500	0.00
2019	64	22500	1	7864	14636	0	0	0	0	0	22500	22500	0.00
2019	79	22500	1	0	12714	0	9786	0	0	0	22500	22500	0.00
2019	81	22500	0	0	0	16401	28	0	6071	0	22500	22500	0.00
2019	83	22500	0	0	0	18374	0	4126	0	0	22500	22500	0.00
2019	89	22500	1	0	19501	0	0	2999	0	0	22500	22500	0.00
2019	90	22500	1	0	22500	0	0	0	0	0	22500	22500	0.00
2019	91	22500	0	0	22500	0	0	0	0	0	22500	22500	0.00
2019	100	22500	0	0	0	0	0	22500	0	0	22500	22500	0.00
2019	102	22500	0	0	87	619	19401	2393	0	0	22500	22500	0.00
2019	114	22500	1	0	22500	0	0	0	0	0	22500	22500	0.00
2019	122	22500	0	0	0	0	13304	5585	3611	0	22500	22500	0.00
2019	133	22500	0	0	0	0	22500	0	0	0	22500	22500	0.00
2019	134	22500	1	0	530	0	21970	0	0	0	22500	22500	0.00
2019	135	22500	0	0	9452	0	7282	0	5766	0	22500	22500	0.00
2019	136	22500	0	0	22066	204	0	0	230	0	22500	22500	0.00
2019	146	22500	0	0	0	0	22262	0	238	0	22500	22500	0.00
2019	153	22500	1	0	813	0	13464	6595	1628	0	22500	22500	0.00
2019	154	22500	1	0	853	0	21647	0	0	0	22500	22500	0.00
2019	155	22500	0	0	0	0	22500	0	0	0	22500	22500	0.00
2019	156	22500	0	0	0	0	22500	0	0	0	22500	22500	0.00
2019	157	22500	0	0	1295	0	21205	0	0	0	22500	22500	0.00
2019	158	22500	1	0	17890	0	4610	0	0	0	22500	22500	0.00
2019	159	22500	0	4324	12090	0	6086	0	0	0	22500	22500	0.00
2019	160	22500	0	12649	9609	0	25	0	217	0	22500	22500	0.00
2019	169	22500	0	0	476	0	22024	0	0	0	22500	22500	0.00
2019	170	22500	0	0	8406	0	14094	0	0	0	22500	22500	0.00
2019	178	22500	0	0	767	0	20793	0	940	0	22500	22500	0.00
2019	180	22500	0	0	1213	0	21287	0	0	0	22500	22500	0.00
2019	181	22500	1	0	15347	0	7146	0	7	0	22500	22500	0.00
2019	183	22500	1	4482	9420	0	8598	0	0	0	22500	22500	0.00
2019	187	22500	0	0	11439	0	0	2474	8587	0	22500	22500	0.00
2019	194	22500	0	0	22500	0	0	0	0	0	22500	22500	0.00
2019	195	22500	1	0	21446	0	1054	0	0	0	22500	22500	0.00
2019	196	22500	1	0	7551	0	14949	0	0	0	22500	22500	0.00
2019	207	22500	0	0	0	0	22500	0	0	0	22500	22500	0.00
2019	208	22500	0	0	54	0	22446	0	0	0	22500	22500	0.00
2019	210	22500	0	0	18143	1003	0	0	3354	0	22500	22500	0.00
2019	219	22500	0	0	22500	0	0	0	0	0	22500	22500	0.00
2019	228	22500	0	3635	2045	3648	13172	0	0	0	22500	22500	0.00
2019	231	22500	1	0	0	0	22500	0	0	0	22500	22500	0.00
2019	232	22500	0	0	0	0	22500	0	0	0	22500	22500	0.00
2019	250	22500	1	0	22500	0	0	0	0	0	22500	22500	0.00
2019	251	22500	1	0	22500	0	0	0	0	0	22500	22500	0.00
2019	252	22500	1	7387	15113	0	0	0	0	0	22500	22500	0.00
2019	253	22500	1	22050	0	0	450	0	0	0	22500	22500	0.00
2019	254	22500	1	18957	0	0	3543	0	0	0	22500	22500	0.00
2019	255	22500	1	15433	0	0	7067	0	0	0	22500	22500	0.00
2019	256	22500	1	11910	0	0	10590	0	0	0	22500	22500	0.00
2019	257	22500	1	8380	0	0	14120	0	0	0	22500	22500	0.00
2019	258	22500	0	4567	0	0	17933	0	0	0	22500	22500	0.00
2019	282	22500	1	22500	0	0	0	0	0	0	22500	22500	0.00
2019	76	22500	0	0	0	2099	759	8256	11387	0	22501	22501	0.00
2019	82	22500	0	0	0	10132	0	0	12369	0	22501	22501	0.00
2019	177	22500	1	0	0	0	18684	3570	247	0	22501	22501	0.00
2019	211	22500	0	0	15757	506	0	2247	3991	0	22501	22501	0.00
2019	220	22500	0	0	20465	1074	0	962	0	0	22501	22501	0.00
2019	221	22500	0	5194	16327	980	0	0	0	0	22501	22501	0.00
2019	225	22500	1	6612	11895	3994	0	0	0	0	22501	22501	0.00
2019	123	22500	0	0	0	0	3038	11873	7591	0	22502	22502	0.00
2019	230	22500	1	0	0	0	19444	2984	74	0	22502	22502	0.00
2019	113	22500	0	0	8259	11636	0	2610	0	0	22505	22505	0.00
2019	176	22500	0	0	3	0	12182	3568	6752	0	22505	22505	0.00
2019	61	22500	0	0	8598	9606	0	1482	2821	0	22507	22507	0.00
2019	152	22500	0	0	10822	0	3931	335	7419	0	22507	22507	0.00
2019	184	22500	0	3937	3059	0	15511	0	0	0	22507	22507	0.00
2019	128	22500	0	0	8098	55	10416	0	3939	0	22508	22508	0.00
2019	37	22500	0	0	8397	0	0	0	14113	0	22510	22510	0.00
2019	108	22500	0	0	0	5635	3192	10302	3383	0	22512	22512	0.00
2019	281	22500	1	21796	716	0	0	0	0	0	22512	22512	0.00
2019	137	22500	1	0	5805	13404	0	0	3308	0	22517	22517	0.00
2019	115	22500	1	0	18992	0	0	3526	0	0	22518	22518	0.00
2019	233	22500	1	0	702	1999	19117	0	704	0	22522	22522	0.00
2019	110	22500	0	2194	0	0	19827	0	502	0	22523	22523	0.00
2019	129	22500	0	0	0	15508	3379	0	3637	0	22524	22524	0.00
2019	138	22500	0	0	16001	34	4067	0	2424	0	22526	22526	0.00
2019	87	22500	0	17824	1505	0	0	1745	1474	0	22548	22548	0.00
2019	56	22500	0	0	861	3487	7302	0	10900	0	22550	22550	0.00
2019	107	22500	0	0	0	22351	0	0	203	0	22554	22554	0.00
2019	84	22500	0	0	2045	12792	874	2562	4283	0	22556	22556	0.00
2019	80	22500	0	0	0	2805	12802	0	6962	0	22569	22569	0.00
2019	104	22500	0	0	3040	5659	10300	0	3578	0	22577	22577	0.00
2019	139	22500	1	0	5137	0	15954	1501	0	0	22592	22592	0.00
2019	165	22500	0	0	0	7783	2316	12526	0	0	22625	22625	0.00
2019	164	22500	0	0	1827	0	2177	13555	5076	0	22635	22635	0.00
2019	86	22500	0	6161	1115	0	2178	3334	9848	0	22636	22636	0.00
2019	85	22500	0	0	58	2813	9111	7307	3361	0	22650	22650	0.00
2019	234	22500	0	0	309	8553	12541	0	1276	0	22679	22679	0.00
2019	88	22500	1	6984	890	0	0	14809	0	0	22683	22683	0.00
2019	140	22500	0	0	0	397	5555	16839	0	0	22791	22791	0.00
2019	161	22500	1	1589	19755	0	261	0	1187	0	22792	22792	0.00
2019	163	22500	0	0	4887	0	6263	3632	8016	0	22798	22798	0.00
